Manga Series,Author's,Publisher,Demographic,No of Total Volumes,Serialization,Sales (Dollars)
Spy × Family,Tatsuya Endo,Shueisha,Shōnen,14,2019–present,35 million
Urusei Yatsura,Rumiko Takahashi,Shogakukan,Shōnen,34,1978–1987,35 million
Worst,Hiroshi Takahashi,Akita Shoten,Shōnen,33,2002–2013,35 million
3×3 Eyes,Yuzo Takada,Kodansha,Seinen,40,1987–2002,33.33 million
Kaze Densetsu: Bukkomi no Taku,"Hiroto Saki, Juzo Tokoro",Kodansha,Shōnen / Seinen,41,1991–2021,33 million
Chibi Maruko-chan,Momoko Sakura,Shueisha,Shōjo,17,1986–2018,32.5 million
The Silent Service,Kaiji Kawaguchi,Kodansha,Seinen,32,1988–1996,32 million
A Certain Magical Index,Kazuma Kamachi,Square Enix,Shōnen,105,2007–present,31 million
Kuroko's Basketball,Tadatoshi Fujimaki,Shueisha,Shōnen,30,2008–2014,31 million
One-Punch Man,"One, Yusuke Murata",Shueisha,Seinen,31,2012–present,31 million
Space Brothers,Chūya Koyama,Kodansha,Seinen,44,2007–present,31 million
Bastard!!,Kazushi Hagiwara,Shueisha,Shōnen / Seinen,27,1988–2012 (on hiatus),30 million
Chameleon,Atsushi Kase,Kodansha,Shōnen,47,1990–1999,30 million
Death Note,"Tsugumi Ohba, Takeshi Obata",Shueisha,Shōnen,12,2003–2006,30 million
Fruits Basket,Natsuki Takaya,Hakusensha,Shōjo,23,1998–2006,30 million
Gaki Deka [ja],Tatsuhiko Yamagami,Akita Shoten,Shōnen,26,1974–1980,30 million
Jarinko Chie,Etsumi Haruki,Futabasha,Seinen,67,1978–1997,30 million
Jingi,Tachihara Ayumi,Akita Shoten,Seinen,81,1988–2019,30 million
Kaiji,Nobuyuki Fukumoto,Kodansha,Seinen,91,1996–present,30 million
Reborn!,Akira Amano,Shueisha,Shōnen,42,2004–2012,30 million
Tokimeki Tonight,Koi Ikeno,Shueisha,Shōjo,30,1982–1994,30 million
Toriko,Mitsutoshi Shimabukuro,Shueisha,Shōnen,43,2008–2016,30 million
Ushio and Tora,Kazuhiro Fujita,Shogakukan,Shōnen,33,1990–1996,30 million
Yawara!,Naoki Urasawa,Shogakukan,Seinen,29,1986–1993,30 million
Yowamushi Pedal,Wataru Watanabe,Akita Shoten,Shōnen,84,2008–present,30 million
Futari Ecchi,Katsu Aki,Hakusensha,Seinen,87,1997–present,29.5 million
Chainsaw Man,Tatsuki Fujimoto,Shueisha,Shōnen,19,2018–present,29 million
Golden Kamuy,Satoru Noda,Shueisha,Seinen,31,2014–2022,29 million
Hell Teacher: Jigoku Sensei Nube,"Shō Makura, Takeshi Okano",Shueisha,Shōnen,72,1993–2021,29 million
Shonan Bakusozoku,Satoshi Yoshida,Shōnen Gahōsha,Shōnen,16,1982–1988,29 million
Asari-chan,Mayumi Muroyama,Shogakukan,Shōjo,100,1978–2014,28 million
Chihayafuru,Yuki Suetsugu,Kodansha,Josei,50,2007–2022,28 million
Pokémon Adventures,"Hidenori Kusaka, Mato, Satoshi Yamamoto",Shogakukan,Children,59,1997–present,28 million
Assassination Classroom,Yūsei Matsui,Shueisha,Shōnen,21,2012–2016,27 million
Sakigake!! Otokojuku,Akira Miyashita,Shueisha,Shōnen,34,1985–1991,27 million
Seito Shokun!,Yoko Shoji,Kodansha,Shōjo / Josei,83,1977–2019,27 million
Yūkan Club,Yukari Ichijo,Shueisha,Shōjo,19,1982–2002,27 million
Bari Bari Densetsu,Shuichi Shigeno,Kodansha,Shōnen,38,1983–1991,26 million
Eyeshield 21,"Riichiro Inagaki, Yusuke Murata",Shueisha,Shōnen,37,2002–2009,26 million
Tsuribaka Nisshi,"Jūzō Yamasaki, Kenichi Kitami",Shogakukan,Seinen,106,1979–present,26 million
Angel Heart,Tsukasa Hojo,Shinchosha[ac]Tokuma Shoten[ad],Seinen,54,2001–2017,25 million
Ashita no Joe,"Ikki Kajiwara, Tetsuya Chiba",Kodansha,Shōnen,20,1968–1973,25 million
Blue Exorcist,Kazue Kato,Shueisha,Shōnen,31,2009–present,25 million
Boys Be...,"Masahiro Itabashi, Hiroyuki Tamakoshi",Kodansha,Shōnen,32,1991–1997,25 million
D.Gray-man,Katsura Hoshino,Shueisha,Shōnen,28,2004–present,25 million
Emblem Take 2 [ja],"Kazumasa Kiuchi, Jun Watanabe",Kodansha,Seinen,62,1990–2004,25 million
The Fable,Katsuhisa Minami,Kodansha,Seinen,31,2014–2023,25 million
Flame of Recca,Nobuyuki Anzai,Shogakukan,Shōnen,33,1995–2002,25 million
Hikaru no Go,"Yumi Hotta, Takeshi Obata",Shueisha,Shōnen,23,1998–2003,25 million
Magi: The Labyrinth of Magic,Shinobu Ohtaka,Shogakukan,Shōnen,37,2009–2017,25 million
Maison Ikkoku,Rumiko Takahashi,Shogakukan,Seinen,15,1980–1987,25 million
Miyuki,Mitsuru Adachi,Shogakukan,Shōnen,12,1980–1984,25 million
Neon Genesis Evangelion,Yoshiyuki Sadamoto,Kadokawa Shoten,Shōnen,14,1994–2013,25 million
Oh My Goddess!,Kōsuke Fujishima,Kodansha,Seinen,48,1988–2014,25 million
Patalliro!,Mineo Maya,Hakusensha,Shōjo,101,1979–present,25 million
Parasyte,Hitoshi Iwaaki,Kodansha,Seinen,10,1988–1995,25 million
The Ping Pong Club,Minoru Furuya,Kodansha,Seinen,13,1993–1996,25 million
Saiyuki,Kazuya Minekura,Square Enix[ag]Ichijinsha[ah],Shōnen / Shōjo / Josei,27,1997–present,25 million
Ahiru no Sora,Hinata Takeshi,Kodansha,Shōnen,51,2004–2019 (on hiatus),24 million
Gantz,Hiroya Oku,Shueisha,Seinen,37,2000–2013,24 million
Zatch Bell!,Makoto Raiku,Shogakukan,Shōnen,33,2001–2007,23.8 million
Rave Master,Hiro Mashima,Kodansha,Shōnen,35,1999–2005,23.5 million
Himitsu Series [ja],"Yasuko Uchiyama, Tokuo Yokota, Terumi Fujiki, Yoshitari Iizuka",Gakken,Children,116,1972–2014,23 million
The Rose of Versailles,Riyoko Ikeda,Shueisha,Shōjo,10,1972–1973,23 million
Abu-san,Shinji Mizushima,Shogakukan,Seinen,107,1973–2014,22 million
Cardcaptor Sakura,Clamp,Kodansha,Shōjo,24,1996–2023,22 million
Frieren: Beyond Journey's End,"Kanehito Yamada [ja], Tsukasa Abe [ja]",Shogakukan,Shōnen,13,2020–present,22 million
Hoshin Engi,Ryu Fujisaki,Shueisha,Shōnen,23,1996–2000,22 million
Kaguya-sama: Love Is War,Aka Akasaka,Shueisha,Seinen,28,2015–2022,22 million
Terra Formars,"Yū Sasuga, Kenichi Tachibana",Shueisha,Seinen,22,2011–present,22 million
Dōbutsu no Oisha-san,Noriko Sasaki,Hakusensha,Shōjo,12,1987–1993,21.6 million
Aoashi,"Yugo Kobayashi, Naohiko Ueno",Shogakukan,Seinen,37,2015–present,21 million
Hayate the Combat Butler,Kenjiro Hata,Shogakukan,Shōnen,52,2004–2017,21 million
